Group,Bump/Pin Name,Ball Name,Ball ID,Bump center_x,Bump center_y,Ball center_x,Ball center_y,IO_tile_pin,IO_tile_pin_x,IO_tile_pin_y,IO_tile_pin_z,Ref clock,Bank,ALT Function,Debug Mode,Scan Mode,Mbist Mode,Type,Direction,Voltage,Power Pad,Discription,Voltage,Remark
System,RST_N,RST_N,,5760,6193,18000,20000,,,,,sys_clk,,,,,,,Input,1.8V-3.3V,N,Chip Reset,1.8V-3.3V,
,XIN,XIN,,5890,6193,19000,20000,,,,,sys_clk,,,,,,,Input ,1.8V-3.3V,N,Crystal Clock,1.8V-3.3V,
,TESTMODE,TESTMODE,,6020,6193,20000,20000,,,,,sys_clk,,,,,,,Input ,1.8V-3.3V,N,Testmode pin,1.8V-3.3V,
,Bootm0,BOOTM0,,6150,6193,21000,20000,,,,,sys_clk,,,Debug_0,,,,Input ,1.8V-3.3V,N,Boot mode pin,1.8V-3.3V,
,Bootm1,BOOTM1,,6280,6193,22000,20000,,,,,sys_clk,,,Debug_1,,,,Input ,1.8V-3.3V,N,Boot mode pin,1.8V-3.3V,
,Bootm2,BOOTM2,,5825,6080.4,23000,20000,,,,,sys_clk,,,Debug_2,,,,,1.8V-3.3V,N,Boot mode pin,,
,CLKSEL_0,CLKSEL_0,,5955,6080.4,24000,20000,,,,,sys_clk,,,,,,,,1.8V-3.3V,N,Clock select pin,,
,CLKSEL_1,CLKSEL_1,,6085,6080.4,25000,20000,,,,,sys_clk,,,,,,,Input ,1.8V-3.3V,N,Clock select pin,1.8V-3.3V,
JTAG,JTAG_TDI,JTAG_TDI,,6215,6080.4,26000,20000,,,,,sys_clk,,,,,,,Input,1.8V-3.3V,N,JTAG Data Input,1.8V-3.3V,
,JTAG_TDO,JTAG_TDO,,6345,6080.4,27000,20000,,,,,sys_clk,,,,,,,Output,1.8V-3.3V,N,JTAG Data Output,1.8V-3.3V,
,JTAG_TMS,JTAG_TMS,,5760,5967.8,18000,21000,,,,,sys_clk,,,,,,,Input,1.8V-3.3V,N,JTAG TMS Bit,1.8V-3.3V,
,JTAG_TCK,JTAG_TCK,,5890,5967.8,19000,21000,,,,,sys_clk,,,,,,,Input,1.8V-3.3V,N,JTAG Clock,1.8V-3.3V,
,JTAG_TRSTN,JTAG_TRSTN,,6020,5967.8,20000,21000,,,,,sys_clk,,,,,,,Input,1.8V-3.3V,N,JTAG Reset,1.8V-3.3V,
GPIO,GPIO_A_0,GPIO_A_0,,6150,5967.8,21000,21000,,,,,sys_clk,,,,,,,Inout,1.8V-3.3V,N,FPGA,1.8V-3.3V,
,GPIO_A_1,GPIO_A_1,,6280,5967.8,22000,21000,,,,,sys_clk,,,,,,,Inout,1.8V-3.3V,N,FPGA,1.8V-3.3V,
,GPIO_A_2,GPIO_A_2,,5825,5855.2,23000,21000,,,,,sys_clk,,,,,,,Inout,1.8V-3.3V,N,FPGA,1.8V-3.3V,
,GPIO_A_3,GPIO_A_3,,5955,5855.2,24000,21000,,,,,sys_clk,,,,,,,Inout,1.8V-3.3V,N,FPGA,1.8V-3.3V,
,GPIO_A_4,GPIO_A_4,,6085,5855.2,25000,21000,,,,,sys_clk,,,,,,,Inout,1.8V-3.3V,N,FPGA,1.8V-3.3V,
,GPIO_A_5,GPIO_A_5,,6215,5855.2,26000,21000,,,,,sys_clk,,,,,,,Inout,1.8V-3.3V,N,FPGA,1.8V-3.3V,
,GPIO_A_6,GPIO_A_6,,6345,5855.2,27000,21000,,,,,sys_clk,,,,,,,Inout,1.8V-3.3V,N,FPGA,1.8V-3.3V,
,GPIO_A_7,GPIO_A_7,,5760,5742.6,18000,22000,,,,,sys_clk,,,,,,,Inout,1.8V-3.3V,N,FPGA,1.8V-3.3V,
,GPIO_A_8,GPIO_A_8,,5890,5742.6,19000,22000,,,,,sys_clk,,,,,,,Inout,1.8V-3.3V,N,FPGA,1.8V-3.3V,
,GPIO_A_9,GPIO_A_9,,6020,5742.6,20000,22000,,,,,sys_clk,,,,,,,Inout,1.8V-3.3V,N,FPGA,1.8V-3.3V,
,GPIO_A_10,GPIO_A_10,,6150,5742.6,21000,22000,,,,,sys_clk,,,,,,,Inout,1.8V-3.3V,N,FPGA,1.8V-3.3V,
,GPIO_A_11,GPIO_A_11,,6280,5742.6,22000,22000,,,,,sys_clk,,,,,,,Inout,1.8V-3.3V,N,FPGA,1.8V-3.3V,
,GPIO_A_12,GPIO_A_12,,5825,5630,23000,22000,,,,,sys_clk,,,,,,,Inout,1.8V-3.3V,N,FPGA,1.8V-3.3V,
,GPIO_A_13,GPIO_A_13,,5955,5630,24000,22000,,,,,sys_clk,,,,,,,Inout,1.8V-3.3V,N,FPGA,1.8V-3.3V,
,GPIO_A_14,GPIO_A_14,,6085,5630,25000,22000,,,,,sys_clk,,,,,,,Inout,1.8V-3.3V,N,FPGA,1.8V-3.3V,
,GPIO_A_15,GPIO_A_15,,6215,5630,26000,22000,,,,,sys_clk,,,,,,,Inout,1.8V-3.3V,N,FPGA,1.8V-3.3V,
